gbifID;publisher;datasetID;datasetName;decimalLatitude;decimalLongitude;scientificName;publisher;coordinatePrecision;coordinateUncertaintyInMeters;datasetID;datasetName;decimalLatitude;decimalLongitude;geodeticDatum;scientificName
187890143;;;;39.14791;-1.09068;Anthyllis cytisoides L.;;;7071;;;39.14791107;-1.09068298;;Anthyllis cytisoides
187890275;;;;39.04938;-0.63117;Anthyllis cytisoides L.;;;7071;;;39.04938125;-0.631168;;Anthyllis cytisoides
187890305;;;;39.14791;-1.09068;Anthyllis cytisoides L.;;;7071;;;39.14791107;-1.09068298;;Anthyllis cytisoides
187890338;;;;39.14791;-1.09068;Anthyllis cytisoides L.;;;7071;;;39.14791107;-1.09068298;;Anthyllis cytisoides
187890341;;;;39.14791;-1.09068;Anthyllis cytisoides L.;;;7071;;;39.14791107;-1.09068298;;Anthyllis cytisoides
187890374;;;;39.23601;-0.97245;Anthyllis cytisoides L.;;;7071;;;39.2360115;-0.97244501;;Anthyllis cytisoides
187890404;;;;38.41911;-0.6519;Anthyllis cytisoides L.;;;7071;;;38.41910934;-0.651905;;Anthyllis cytisoides
187890437;;;;38.5068;-0.53439;Anthyllis cytisoides L.;;;7071;;;38.50679779;-0.53439497;;Anthyllis cytisoides
187890440;;;;38.59683;-0.53132;Anthyllis cytisoides L.;;;7071;;;38.59682846;-0.53131598;;Anthyllis cytisoides
187890473;;;;38.59435;-0.4166;Anthyllis cytisoides L.;;;7071;;;38.59435272;-0.416599;;Anthyllis cytisoides
187890503;;;;38.58625;-0.07254;Anthyllis cytisoides L.;;;7071;;;38.58624649;-0.072539;;Anthyllis cytisoides
187890536;;;;39.49953;-0.61595;Anthyllis cytisoides L.;;;7071;;;39.49952697;-0.61595302;;Anthyllis cytisoides
187890569;;;;38.51353;-0.8782;Anthyllis cytisoides L.;;;7071;;;38.51353454;-0.878196;;Anthyllis cytisoides
187890572;;;;39.67454;-0.3768;Anthyllis cytisoides L.;;;7071;;;39.67454147;-0.376798;;Anthyllis cytisoides
187890602;;;;39.76713;-0.49001;Anthyllis cytisoides L.;;;7071;;;39.76712799;-0.49001398;;Anthyllis cytisoides
187890635;;;;39.76455;-0.37338;Anthyllis cytisoides L.;;;7071;;;39.76454544;-0.37338298;;Anthyllis cytisoides
187890668;;;;39.94183;-0.24959;Anthyllis cytisoides L.;;;7071;;;39.94183349;-0.24958799;;Anthyllis cytisoides
187890671;;;;39.94183;-0.24959;Anthyllis cytisoides L.;;;7071;;;39.94183349;-0.24958799;;Anthyllis cytisoides
187890701;;;;40.20619;0.03134;Anthyllis cytisoides L.;;;7071;;;40.20619201;0.03133799;;Anthyllis cytisoides
187890734;;;;40.20894;0.12133;Anthyllis cytisoides L.;;;7071;;;40.20894241;0.121334;;Anthyllis cytisoides
187890767;;;;40.20894;0.12133;Anthyllis cytisoides L.;;;7071;;;40.20894241;0.121334;;Anthyllis cytisoides
187890770;;;;40.20894;0.12133;Anthyllis cytisoides L.;;;7071;;;40.20894241;0.121334;;Anthyllis cytisoides
187890800;;;;40.20894;0.12133;Anthyllis cytisoides L.;;;7071;;;40.20894241;0.121334;;Anthyllis cytisoides
187890833;;;;39.5962;-0.96198;Anthyllis cytisoides L.;;;7071;;;39.59620285;-0.96197998;;Anthyllis cytisoides
187890866;;;;39.5941;-0.8456;Anthyllis cytisoides L.;;;7071;;;39.59410095;-0.84559702;;Anthyllis cytisoides
187890899;;;;39.50185;-0.73216;Anthyllis cytisoides L.;;;7071;;;39.50185012;-0.73216098;;Anthyllis cytisoides
187891067;;;;38.06522;-1.00519;Anthyllis cytisoides L.;;;7071;;;38.06521987;-1.00519096;;Anthyllis cytisoides
187891070;;;;38.24536;-1.00028;Anthyllis cytisoides L.;;;7071;;;38.24535751;-1.00027596;;Anthyllis cytisoides
187891100;;;;38.41911;-0.6519;Anthyllis cytisoides L.;;;7071;;;38.41910934;-0.651905;;Anthyllis cytisoides
187891133;;;;38.41676;-0.53746;Anthyllis cytisoides L.;;;7071;;;38.41675949;-0.53746002;;Anthyllis cytisoides
187891166;;;;38.59683;-0.53132;Anthyllis cytisoides L.;;;7071;;;38.59682846;-0.53131598;;Anthyllis cytisoides
187891199;;;;38.59435;-0.4166;Anthyllis cytisoides L.;;;7071;;;38.59435272;-0.416599;;Anthyllis cytisoides
187891229;;;;38.59435;-0.4166;Anthyllis cytisoides L.;;;7071;;;38.59435272;-0.416599;;Anthyllis cytisoides
187891232;;;;38.59435;-0.4166;Anthyllis cytisoides L.;;;7071;;;38.59435272;-0.416599;;Anthyllis cytisoides
187891265;;;;38.59435;-0.4166;Anthyllis cytisoides L.;;;7071;;;38.59435272;-0.416599;;Anthyllis cytisoides
187891298;;;;38.50174;-0.30526;Anthyllis cytisoides L.;;;7071;;;38.50174331;-0.30526098;;Anthyllis cytisoides
187891328;;;;38.58625;-0.07254;Anthyllis cytisoides L.;;;7071;;;38.58624649;-0.072539;;Anthyllis cytisoides
