"Species","lon","lat"
"Anthyllis cytisoides",0.39,40.71
"Anthyllis cytisoides",-4.79,36.85
"Anthyllis cytisoides",-2.45,36.83
"Anthyllis cytisoides",0.83333,40.91667
"Anthyllis cytisoides",0.48333,40.93333
"Anthyllis cytisoides",-3.712,36.841
"Anthyllis cytisoides",-3.846,36.814
"Anthyllis cytisoides",0.1,40.1
"Anthyllis cytisoides",-4.1,37.1
"Anthyllis cytisoides",-4.64114,36.64187
"Anthyllis cytisoides",-2.2893,36.92271
"Anthyllis cytisoides",-3.62735,37.05394
"Anthyllis cytisoides",-4.39092,36.81822
"Anthyllis cytisoides",-1.94979,37.45962
"Anthyllis cytisoides",-2.55589,36.99193
"Anthyllis cytisoides",-2.6073,37.02801
"Anthyllis cytisoides",-2.14457,37.45853
"Anthyllis cytisoides",-2.26723,37.49717
"Anthyllis cytisoides",-3.57716,36.97503
"Anthyllis cytisoides",-2.55567,37.73434
"Anthyllis cytisoides",-1.72309,37.29307
"Anthyllis cytisoides",-1.70829,37.40423
"Anthyllis cytisoides",-2.08378,37.02636
"Anthyllis cytisoides",-2.17045,37.38393
"Anthyllis cytisoides",-2.04042,37.21848
"Anthyllis cytisoides",-2.16388,37.29352
"Anthyllis cytisoides",-2.11435,37.29824
"Anthyllis cytisoides",-2.39039,37.40245
"Anthyllis cytisoides",-2.39425,37.42513
"Anthyllis cytisoides",-2.424,37.1299
"Anthyllis cytisoides",-3.54252,36.98983
"Anthyllis cytisoides",-3.14767,37.36483
"Anthyllis cytisoides",-2.89134,37.67671
"Anthyllis cytisoides",-4.89,36.51
"Anthyllis cytisoides",0.10983,40.47887
"Anthyllis cytisoides",0.35257,40.30454
"Anthyllis cytisoides",-0.92,39.619
"Anthyllis cytisoides",-0.4681,39.7094
"Anthyllis cytisoides",-0.40685,38.86442
"Anthyllis cytisoides",-0.75517,38.78154
"Anthyllis cytisoides",1.0434,41.2281
"Anthyllis cytisoides",1.0677,41.2105
"Anthyllis cytisoides",0.7004,41.1407
"Anthyllis cytisoides",-0.0631,40.7389
"Anthyllis cytisoides",-0.6079,39.7336
"Anthyllis cytisoides",-0.6014,38.9046
"Anthyllis cytisoides",-0.373,38.8456
"Anthyllis cytisoides",-0.1966,40.0937
"Anthyllis cytisoides",2.4526,39.5948
"Anthyllis cytisoides",1.5232,38.6586
"Anthyllis cytisoides",-1.2602,39.3127
"Anthyllis cytisoides",-1.627,38.3355
"Anthyllis cytisoides",0.1261,42.5416
"Anthyllis cytisoides",-0.9243,38.5053
"Anthyllis cytisoides",-0.8999,38.5545
"Anthyllis cytisoides",-0.4867,38.5598
"Anthyllis cytisoides",-1.3172,38.3765
"Anthyllis cytisoides",-1.1787,38.4195
"Anthyllis cytisoides",-1.1675,38.4103
"Anthyllis cytisoides",-1.7433,38.2286
"Anthyllis cytisoides",-1.0331,38.3
"Anthyllis cytisoides",-1.6764,38.1378
"Anthyllis cytisoides",-1.7108,38.1292
"Anthyllis cytisoides",-1.7464,38.0484
"Anthyllis cytisoides",-1.3792,38.1611
"Anthyllis cytisoides",-1.6226,37.9659
"Anthyllis cytisoides",-1.0998,37.9316
